roll,pitch,yaw,x,y,z
0,0,0,0,0,0
0.574843962580472,-70.41385818820592,-14.001958989731369,-87.803355657763319,-62.786759873926222,538.60866682848166
-0.11177614831179618,-70.81038139432306,-13.32811928348323,-88.109668961434437,-63.215260220210006,540.1653213366468
0.3882859109240041,-70.8487318312971,-13.774879553139963,-88.154770151082914,-63.516900946861313,539.81721375130917
-0.024394849457049422,-70.77621320334687,-13.378793294170523,-88.06869921581567,-63.536315756723255,539.14053962286766
0.2195328071930269,-70.71450884478992,-13.637049566507555,-88.066235635180632,-63.593492505154153,538.71197503581072
0.07181810580521694,-70.83920860478091,-13.504460949663576,-88.142625798768137,-63.624418503644591,538.72240807929859
0.07975374404580954,-70.83528194896088,-13.506364760308566,-88.111421785237837,-63.576430690232229,538.33867175611203
-0.05485300810204249,-70.72735805863176,-13.372248185320027,-87.916122870539468,-63.28962648435833,537.11864008250302
-0.3134246984073978,-71.05791535876308,-13.198528930528319,-88.044464531589185,-63.034424518079305,537.8753254805456
0.2995682155971568,-70.8281777906583,-13.774128115438955,-87.87886389612413,-62.640749790423229,536.63394901576248
0.6479729146826436,-70.70845125689007,-14.114071206295511,-87.78785794049854,-62.270212338413934,535.68766956378215
-0.029640516602923345,-70.71428181764287,-13.52827165898595,-87.731892638577591,-61.740100081779474,535.07513448931036
0.09013689239573737,-70.77906213669414,-13.682848072622328,-87.689439270724748,-61.137180044960118,534.36425708387765
-0.651614371728764,-70.63798378334415,-12.981355314116454,-87.588585050663482,-60.554083367782468,533.4946805369716
-1.3156201322598793,-70.752938133989,-12.415108522739644,-87.725403660492148,-59.877550760003139,532.89982144991848
-1.4713902974774167,-70.80001856802878,-12.224110350995215,-87.872747887727158,-59.354816363953518,533.14169299296157
-2.8781286349005972,-70.58839366283004,-10.973374325933761,-87.759902057862547,-58.430900888929848,531.99248163447498
-3.263205714650325,-70.57259831355934,-10.685411110701992,-87.782909054305307,-57.621367012258446,531.41826777570043
-3.3275491910727397,-70.70376008955839,-10.70584276340754,-87.960821485475861,-56.815157673221449,531.69759374424564
-4.727407733043589,-70.49978355141369,-9.499835994295374,-87.838446312048546,-55.687875028426284,530.80490796270919
-5.807738798236508,-70.58064680843879,-8.502583556986748,-87.773012122393169,-54.579776535861718,530.88110542280435
-5.5408948393164215,-70.51449581924668,-8.827658113194774,-87.382406232142102,-53.301517813132612,529.88087214891834
-5.884119255612513,-70.44157976963852,-8.651728970422063,-87.056758174559647,-51.950947126663721,529.65395747623575
-5.963145999983387,-70.17290228859913,-8.737018303782106,-86.500911990421613,-50.343664308124836,528.57357815335081
-5.987715608977871,-70.17795979992263,-8.78455203149901,-85.87986573585377,-48.707758249930947,527.67162112084179
-6.87173184656244,-70.04041671411098,-8.00846959975769,-84.978255584690388,-46.890639538395064,526.57395077908484
-6.537612199869059,-69.64531977076997,-8.50073717457934,-83.969464354075257,-44.978961994901837,525.56491251598356
-6.130165985435889,-69.31577834210825,-9.030901437519294,-82.788976817931484,-42.944501226595854,523.17619151055442
-6.53275221925189,-69.22759464228689,-8.707996651516892,-81.744419781849487,-40.957452770759659,522.48269145655877
-6.715019449893844,-69.13236660339493,-8.644376775635386,-80.607269301333076,-38.923428707475743,521.90205478015662
-6.6864195735887595,-68.78204466725107,-8.786743399705495,-79.203083059485891,-36.777604437608986,520.32596564914252
-6.821286566304862,-68.80353228278942,-8.754264699852842,-78.01972744730206,-34.733801523191438,519.92992151282272
-6.6736644236208065,-68.45932373157022,-9.040847202311362,-76.671748902453302,-32.717631760882213,518.32422537726643
-7.545079214279435,-68.1852098874403,-8.29427617100355,-75.382444375916194,-30.699622468254571,517.3753754827859
-7.922093782854592,-67.98557389255956,-8.046405611609703,-74.084187059439941,-28.817640311488145,516.74552640488207
-8.119385576554125,-68.09483476827816,-7.907270341244243,-72.956990963175656,-27.158644813356513,517.18711696907951
-8.392055594490426,-67.8497168895778,-7.789241251838437,-71.720157696562666,-25.501732091231219,516.25890959009826
-9.135399099281818,-67.78479075706275,-7.170489999960494,-70.634109240424223,-24.016816268713111,515.8701059350542
-9.234244453314718,-67.73071982262256,-7.114341809764621,-69.533412672628273,-22.79309109308678,515.88899858903812
-9.636006488892162,-67.72150459121188,-6.809559313009184,-68.382241565897445,-21.616757430502723,515.67002933449805
-9.999996243952372,-67.50614023608611,-6.511955597513825,-67.284954003011293,-20.677763723598414,515.78095210621416
-9.917073786008086,-67.41182125684132,-6.645355585255583,-66.185924935826776,-19.928145478723685,514.78509359603265
-10.545487840057442,-67.32731518233787,-6.140727165648983,-65.248810853016494,-19.282900882871466,515.56102831204919
-11.225306075789101,-67.440534236554,-5.46437046764068,-64.246322862817607,-18.816803259429093,515.55435927505607
-11.096787550349806,-67.23837117402594,-5.641633290327205,-63.153143588380715,-18.479305062103819,515.1354677567067
-11.354016883800217,-67.21818491918764,-5.490570200549306,-62.163655721589393,-18.322382761728068,514.95132278767278
-10.611039039233557,-67.15502154467202,-6.312620910248749,-61.288308019960745,-18.276823218891565,514.91983032250573
-11.266076363993573,-67.29802960558371,-5.6642792937815525,-60.349317533398157,-18.270666679681927,514.96975678161186
-11.2770195475319,-67.03843658789401,-5.710644625944392,-59.223725647269546,-18.440444111011765,514.8739685483547
-11.139736724511563,-67.08039831135952,-5.832459200935965,-58.18713037670598,-18.74263030954523,514.47943860325711
-10.530029338456599,-66.96137588090593,-6.455381503085964,-57.177250855855668,-19.167838018324272,514.46563327952629
-10.592368954601326,-66.8686498373176,-6.416998504046692,-56.133628482517359,-19.658107662252718,514.08583049227627
-10.719766131299048,-66.73935119639242,-6.326022833965594,-55.055637421510461,-20.200156152128759,514.02686362426743
-10.376431209524892,-66.99020490420943,-6.710596823042502,-54.016342883669424,-20.815495919317168,514.48765112021886
-9.821073997948552,-66.53133293447662,-7.207489649105698,-52.796724570912232,-21.623690385833406,513.393348744641
-9.52441119293421,-66.66303400640419,-7.554582665167926,-51.857942599670949,-22.426314112479396,513.71583920328169
-9.632513874448701,-66.51997668362418,-7.40348032154167,-50.792730246354786,-23.309343644694138,513.85433257834768
-8.835724772395556,-66.40545536158912,-8.206388444483153,-49.729181700034012,-24.207779178958837,513.144258670917
-9.085467620119429,-66.28630593261352,-7.941881240760352,-48.699574111043944,-25.189533355989827,513.50810451984466
-8.346436372382968,-66.46904164588699,-8.665912409004399,-47.924602838675916,-26.241820392586192,513.66177773463733
-8.248963354103774,-66.28115076545666,-8.7434480466187,-47.110064087956509,-27.284443748235205,513.63164564392491
-7.635764584294888,-66.22569220773526,-9.346862471386029,-46.353455403964311,-28.360536621509439,513.22678401693986
-7.286463241121272,-66.21176594457762,-9.637663879126382,-45.643667293299394,-29.44161532937574,513.33202675846076
-7.146072366313297,-66.23354473570852,-9.750440224770578,-45.090285291408136,-30.586491001664548,513.52798106194155
-6.475139766134892,-66.00783872065027,-10.398850370904723,-44.637314168707121,-31.68302938214029,512.6799458620618
-6.526959426172763,-66.24875684858227,-10.343470018496216,-44.358683507835053,-32.788414458320133,513.7802320475032
-6.427763106448739,-66.03697704599604,-10.386264096399213,-43.938984236871704,-33.861870877531231,512.42976027996554
-6.432601294497587,-66.05337134082707,-10.398008057298338,-43.669353588866386,-34.833262688471663,512.57848306051744
-5.299014758386801,-66.00172760401192,-11.491966361915255,-43.606634982507565,-36.012535982618871,511.9243454611688
-5.594808196536949,-66.11792892040313,-11.203406124890622,-43.595994031651465,-37.047849372562972,512.10327260924566
-5.210512378946477,-66.12137474937272,-11.516685864428501,-43.55018698485005,-38.086858054469062,511.8235071526538
-5.056149821416499,-66.1170499427126,-11.680616564291451,-43.54953616378419,-39.07401466598246,511.54082536285591
-4.928670151713381,-66.20581403226056,-11.770549636265834,-43.650879143819289,-40.055943370458486,511.56554169279082
-4.710820822746551,-66.18805402457494,-11.962168551381708,-43.827912863001018,-41.017529463888053,510.38653394906493
-4.723363413705856,-66.61286820968135,-11.971541003184187,-44.175745907125076,-42.067451635939079,511.23212284390314
-4.871085278458303,-66.54232798574925,-11.780889820810229,-44.291531404993492,-42.941502692865157,510.35733503456493
-5.352511561596154,-66.59718316976326,-11.273614660770678,-44.459222182695576,-43.858464253447913,509.99172483547977
-4.239894069743179,-66.56012326035675,-12.44289883386994,-44.755442412541207,-44.801293166936489,509.17707230967204
-4.912996996220425,-66.61851801896871,-11.741004997939912,-44.944690282903132,-45.703811379729387,508.4995990640943
-4.803193038065588,-66.73484733200398,-11.792713104962978,-45.115981377281877,-46.694890682595315,508.4342512208255
-4.5632531764851585,-66.52923263612884,-12.007774607109042,-45.078188839480617,-47.539110760058342,507.50345129051914
-4.3859824725351135,-66.78538713225316,-12.215625493384504,-45.176001399270191,-48.487375041800163,507.93762515475129
-3.5777539537048892,-66.71671107714046,-13.033131818448071,-45.178113293054487,-49.399341457360528,506.95042012496918
-3.531471801989568,-66.90539304293029,-13.040963494602694,-45.101223987346074,-50.230843314516633,506.39172718276092
-3.1706627624945285,-66.9737858501503,-13.380469266320311,-44.883110030302241,-51.065777052396335,506.73562935939606
-2.9499967847510096,-66.8085459685509,-13.501187771787432,-44.456001129030348,-51.809041453641186,505.85616978942818
-2.1379349712464832,-66.46971942640118,-14.342961770303377,-44.056367675799954,-52.474459650409315,504.89185565704736
-1.5224865341339493,-66.43010459154675,-14.906512642415674,-43.656639205565149,-53.17527631717973,504.09573680832943
-1.5440454400923045,-66.221205640466,-14.793763076150773,-43.100114728180657,-53.714939472167451,503.08974243088022
-0.5805704984557206,-66.32784858757496,-15.68100913881228,-42.623882740999463,-54.360732521472855,502.60627304068572
-0.6964361907180584,-66.05832458788854,-15.583733437476967,-42.078891600169115,-54.865563296801142,501.80518267814233
-0.01606609903667125,-65.94345075495261,-16.181152828834488,-41.634706524981915,-55.557750265409275,501.35332909790026
0.006649499512423371,-65.89769238684279,-16.155974672306122,-41.223787214272853,-56.207070624348241,500.86484956545075
0.21300255881596442,-65.81433216644945,-16.30811304824615,-40.788266868352352,-56.846338026233077,500.68059161314932
0.9143278843882601,-65.94753715502598,-16.910865948835827,-40.47742190154419,-57.586089252231751,500.50246796584065
1.171709400767303,-65.78055420726102,-17.15946142548349,-40.228688800369511,-58.278467217732747,499.86915465556029
1.2060569965826555,-65.85580932389895,-17.17208847200863,-40.144515335893068,-59.041177267797764,499.97113960564593
1.2236812681132985,-66.10526878408184,-17.079783739960824,-40.081056655697033,-59.861794406510569,500.09882625946136
1.1474713567646009,-66.15983804421656,-16.96800452033406,-39.990079872411741,-60.618891218877387,500.01184855037127
1.1582308154327494,-66.1875698951728,-16.971445762885374,-39.974776806823989,-61.425205057531485,500.02070798497704
1.4673166103617208,-66.3278765023572,-17.255333092205397,-40.039799401300797,-62.209225467841065,499.79174966995453
1.5267954517733164,-66.3771787585751,-17.333048257148757,-40.094458486282036,-62.934595569572245,499.59540800176575
1.445482355010191,-66.53779347081141,-17.215050553164918,-40.085700404513972,-63.6249221330729,499.85189100679355
1.407648416745066,-66.7030661406944,-17.160849256382797,-40.028394032997419,-64.220538899160829,499.79607861239776
1.872874405940243,-66.52956546433424,-17.593254044513746,-39.900121255431337,-64.785484455258157,499.2067882636033
